n	tpr	fpr	method
50	0.695364238410596	0.17712023338195457	StARS_MB
50	0.609271523178808	0.12002500520941863	StARS_MB
50	0.5496688741721855	0.09356115857470307	StARS_MB
50	0.5364238410596026	0.07772452594290477	StARS_MB
50	0.5099337748344371	0.06730568868514274	StARS_MB
50	0.4966887417218543	0.06001250260470931	StARS_MB
50	0.48344370860927155	0.05376120025005209	StARS_MB
50	0.4503311258278146	0.049802042092102525	StARS_MB
50	0.4304635761589404	0.04625963742446343	StARS_MB
50	0.4105960264900662	0.04292560950197958	StARS_MB
50	0.3973509933774834	0.04021671181496145	StARS_MB
50	0.3841059602649007	0.03646593040216712	StARS_MB
50	0.37748344370860926	0.03500729318608043	StARS_MB
50	0.3576158940397351	0.032715148989372785	StARS_MB
50	0.3576158940397351	0.030631381537820378	StARS_MB
50	0.3509933774834437	0.028755990831423214	StARS_MB
50	0.3443708609271523	0.02771410710564701	StARS_MB
50	0.33112582781456956	0.025421962908939364	StARS_MB
50	0.31788079470198677	0.02396332569285268	StARS_MB
50	0.31788079470198677	0.022713065221921232	StARS_MB
50	0.31788079470198677	0.021879558241300272	StARS_MB
50	0.31125827814569534	0.02125442800583455	StARS_MB
50	0.2847682119205298	0.019379037299437383	StARS_MB
50	0.2781456953642384	0.017920400083350697	StARS_MB
50	0.271523178807947	0.016670139612419255	StARS_MB
50	0.271523178807947	0.016253386122108773	StARS_MB
50	0.271523178807947	0.01541987914148781	StARS_MB
50	0.271523178807947	0.015003125651177328	StARS_MB
50	0.271523178807947	0.014377995415711607	StARS_MB
50	0.25165562913907286	0.013752865180245884	StARS_MB
50	0.23841059602649006	0.013127734944780162	StARS_MB
50	0.23178807947019867	0.012502604709314441	StARS_MB
50	0.2251655629139073	0.012085851219003959	StARS_MB
50	0.2251655629139073	0.011252344238382997	StARS_MB
50	0.2185430463576159	0.010418837257762034	StARS_MB
50	0.2185430463576159	0.010002083767451552	StARS_MB
50	0.2185430463576159	0.009585330277141072	StARS_MB
50	0.2185430463576159	0.008543446551364868	StARS_MB
50	0.2185430463576159	0.008335069806209627	StARS_MB
50	0.2119205298013245	0.007918316315899145	StARS_MB
50	0.2119205298013245	0.007501562825588664	StARS_MB
50	0.2119205298013245	0.007293186080433424	StARS_MB
50	0.2119205298013245	0.007293186080433424	StARS_MB
50	0.2119205298013245	0.006668055844967702	StARS_MB
50	0.2119205298013245	0.006459679099812461	StARS_MB
50	0.2119205298013245	0.0060429256095019795	StARS_MB
50	0.2119205298013245	0.0060429256095019795	StARS_MB
50	0.2052980132450331	0.005834548864346739	StARS_MB
50	0.1986754966887417	0.005834548864346739	StARS_MB
50	0.19205298013245034	0.005626172119191498	StARS_MB
50	0.18543046357615894	0.005626172119191498	StARS_MB
50	0.18543046357615894	0.005626172119191498	StARS_MB
50	0.18543046357615894	0.005417795374036257	StARS_MB
50	0.18543046357615894	0.005417795374036257	StARS_MB
50	0.18543046357615894	0.004792665138570536	StARS_MB
50	0.18543046357615894	0.004792665138570536	StARS_MB
50	0.18543046357615894	0.004792665138570536	StARS_MB
50	0.17218543046357615	0.004375911648260054	StARS_MB
50	0.17218543046357615	0.004375911648260054	StARS_MB
50	0.16556291390728478	0.004375911648260054	StARS_MB
50	0.15894039735099338	0.004375911648260054	StARS_MB
50	0.152317880794702	0.004375911648260054	StARS_MB
50	0.1456953642384106	0.004167534903104814	StARS_MB
50	0.1390728476821192	0.003750781412794332	StARS_MB
50	0.13245033112582782	0.003334027922483851	StARS_MB
50	0.13245033112582782	0.003334027922483851	StARS_MB
50	0.13245033112582782	0.0031256511773286103	StARS_MB
50	0.13245033112582782	0.0027088976870181286	StARS_MB
50	0.13245033112582782	0.0022921441967076474	StARS_MB
50	0.13245033112582782	0.002083767451552407	StARS_MB
50	0.13245033112582782	0.002083767451552407	StARS_MB
50	0.13245033112582782	0.001875390706397166	StARS_MB
50	0.13245033112582782	0.0016670139612419254	StARS_MB
50	0.13245033112582782	0.0014586372160866848	StARS_MB
50	0.11920529801324503	0.001250260470931444	StARS_MB
50	0.11258278145695365	0.001250260470931444	StARS_MB
50	0.10596026490066225	0.001250260470931444	StARS_MB
50	0.10596026490066225	0.001250260470931444	StARS_MB
50	0.10596026490066225	0.001250260470931444	StARS_MB
50	0.10596026490066225	0.001250260470931444	StARS_MB
50	0.09933774834437085	0.001250260470931444	StARS_MB
50	0.09933774834437085	0.001250260470931444	StARS_MB
50	0.09933774834437085	0.001250260470931444	StARS_MB
50	0.09933774834437085	0.001250260470931444	StARS_MB
50	0.09271523178807947	8.335069806209627e-4	StARS_MB
50	0.08609271523178808	8.335069806209627e-4	StARS_MB
50	0.07947019867549669	6.25130235465722e-4	StARS_MB
